Source_Port;Destination_Port;Protocol;Flow_Duration;Total_Forward_Packets;Total_Backward_Packets;Total_Length_Forward_Packets;Total_Length_Backward_Packets;Forward_Packets_Length_Max;Forward_Packets_Length_Min;Forward_Packets_Length_Mean;Backward_Packets_Length_Max;Backward_Packets_Length_Min;Backward_Packets_Length_Mean;Packets_Flow_IAT_Mean;Packets_Flow_IAT_Standard_Deviation;Packets_Flow_IAT_Max;Packets_Flow_IAT_Min;Forward_IAT_Total;Forward_IAT_Mean;Forward_IAT_Min;Backward_IAT_Total;Backward_IAT_Mean;Backward_IAT_Min;Forward_Header_Length;Backward_Header_Length;Forward_Packets_per_Second;Backward_Packets_per_Second;Packets_Length_Min;Packets_Length_Max;Packets_Length_Mean;Packets_Length_Standard_Deviation;Class
52717;9020;6;98;0;2;0;2776;0;0;0;1388;1388;1388;98;0;98;98;0;0;0;98;98;98;0;64;0;20408.163265;1388;1388;1388;0;Scan
443;43238;6;184;1;1;1441;1441;1441;1441;1441;1441;1441;1441;184;0;184;184;0;0;0;0;0;0;32;32;5434.782609;5434.782609;1441;1441;1441;0;Mirai
10000;10101;17;206;2;1;2860;1430;1430;1430;1430;1430;1430;1430;103;45.254834;135;71;71;71;71;0;0;0;16;8;9708.737864;4854.368932;1430;1430;1430;0;Mirai
52727;9020;6;141;0;3;0;4164;0;0;0;1388;1388;1388;70.5;0.707107;71;70;0;0;0;141;70.5;70;0;96;0;21276.595745;1388;1388;1388;0;Scan
64774;9988;17;8;4;1;128;32;32;32;32;32;32;32;2;2.160247;5;0;3;1;0;0;0;0;32;8;500000;125000;32;32;32;0;Mirai
443;51875;6;135;1;1;1448;1448;1448;1448;1448;1448;1448;1448;135;0;135;135;0;0;0;0;0;0;32;32;7407.407407;7407.407407;1448;1448;1448;0;Mirai
1228;554;6;5151;0;2;0;0;0;0;0;0;0;0;5151;0;5151;5151;0;0;0;5151;5151;5151;0;44;0;388.274122;0;0;0;0;DoS
64780;9988;17;28;9;1;288;32;32;32;32;32;32;32;3.111111;1.536591;6;2;24;3;2;0;0;0;72;8;321428.571429;35714.285714;32;32;32;0;Mirai
443;40282;6;286;4;1;5792;1448;1448;1448;1448;1448;1448;1448;71.5;1.290994;73;70;216;72;71;0;0;0;128;32;13986.013986;3496.503497;1448;1448;1448;0;Normal
443;43238;6;214;1;1;1441;1441;1441;1441;1441;1441;1441;1441;214;0;214;214;0;0;0;0;0;0;32;32;4672.897196;4672.897196;1441;1441;1441;0;Mirai
56260;7100;6;149;0;3;0;2888;0;0;0;1424;40;962.666667;74.5;0.707107;75;74;0;0;0;149;74.5;74;0;60;0;20134.228188;40;1424;1078;692;Mirai
9020;56196;6;120;1;1;30;1388;30;30;30;1388;1388;1388;120;0;120;120;0;0;0;0;0;0;32;32;8333.333333;8333.333333;30;1388;935.333333;784.041666;Mirai
42360;1900;17;152;2;1;884;372;444;440;442;372;372;372;76;5.656854;80;72;72;72;72;0;0;0;16;8;13157.894737;6578.947368;372;444;407;40.447497;Scan
443;43238;6;181;1;1;1441;1441;1441;1441;1441;1441;1441;1441;181;0;181;181;0;0;0;0;0;0;32;32;5524.861878;5524.861878;1441;1441;1441;0;Mirai
443;43238;6;80;1;1;1441;1441;1441;1441;1441;1441;1441;1441;80;0;80;80;0;0;0;0;0;0;32;32;12500;12500;1441;1441;1441;0;Mirai
59133;443;6;82;1;1;1460;1460;1460;1460;1460;1460;1460;1460;82;0;82;82;0;0;0;0;0;0;20;20;12195.121951;12195.121951;1460;1460;1460;0;Mirai
9020;49784;6;407;0;2;0;0;0;0;0;0;0;0;407;0;407;407;0;0;0;407;407;407;0;64;0;4914.004914;0;0;0;0;Normal
6113;554;6;14235;0;2;0;0;0;0;0;0;0;0;14235;0;14235;14235;0;0;0;14235;14235;14235;0;44;0;140.498771;0;0;0;0;DoS
3520;19604;6;1014;0;2;0;0;0;0;0;0;0;0;1014;0;1014;1014;0;0;0;1014;1014;1014;0;40;0;1972.386588;0;0;0;0;DoS
9600;36762;6;149;1;1;246;216;246;246;246;216;216;216;149;0;149;149;0;0;0;0;0;0;20;20;6711.409396;6711.409396;216;246;226;17.320508;Scan
51998;8899;17;53;3;1;96;32;32;32;32;32;32;32;17.666667;2.081666;20;16;36;18;16;0;0;0;24;8;56603.773585;18867.924528;32;32;32;0;Mirai
443;43238;6;253;1;1;1441;1441;1441;1441;1441;1441;1441;1441;253;0;253;253;0;0;0;0;0;0;32;32;3952.56917;3952.56917;1441;1441;1441;0;Mirai
9020;56196;6;75;0;2;0;0;0;0;0;0;0;0;75;0;75;75;0;0;0;75;75;75;0;64;0;26666.666667;0;0;0;0;Mirai
56361;10101;17;248;2;1;2860;1430;1430;1430;1430;1430;1430;1430;124;72.124892;175;73;73;73;73;0;0;0;16;8;8064.516129;4032.258065;1430;1430;1430;0;Mirai
60132;8899;17;11;1;1;32;32;32;32;32;32;32;32;11;0;11;11;0;0;0;0;0;0;8;8;90909.090909;90909.090909;32;32;32;0;Mirai
9020;52717;6;114;1;1;1388;1388;1388;1388;1388;1388;1388;1388;114;0;114;114;0;0;0;0;0;0;32;32;8771.929825;8771.929825;1388;1388;1388;0;Scan
60134;8899;17;185;1;1;32;32;32;32;32;32;32;32;185;0;185;185;0;0;0;0;0;0;8;8;5405.405405;5405.405405;32;32;32;0;Mirai
10000;10101;17;115;1;1;1430;1430;1430;1430;1430;1430;1430;1430;115;0;115;115;0;0;0;0;0;0;8;8;8695.652174;8695.652174;1430;1430;1430;0;Mirai
9020;49784;6;291;2;1;1418;1388;1388;30;709;1388;1388;1388;145.5;99.702056;216;75;216;216;216;0;0;0;64;32;6872.852234;3436.426117;30;1388;1048.5;679;Normal
34887;443;6;115;0;2;0;2896;0;0;0;1448;1448;1448;115;0;115;115;0;0;0;115;115;115;0;64;0;17391.304348;1448;1448;1448;0;Mirai
443;43238;6;279;1;1;1441;1441;1441;1441;1441;1441;1441;1441;279;0;279;279;0;0;0;0;0;0;32;32;3584.229391;3584.229391;1441;1441;1441;0;Mirai
40541;443;6;146;0;2;0;0;0;0;0;0;0;0;146;0;146;146;0;0;0;146;146;146;0;40;0;13698.630137;0;0;0;0;Mirai
443;51875;6;153;1;1;1448;672;1448;1448;1448;672;672;672;153;0;153;153;0;0;0;0;0;0;32;32;6535.947712;6535.947712;672;1448;930.666667;448.023809;Mirai
56275;9020;6;150;2;1;0;0;0;0;0;0;0;0;75;2.828427;77;73;73;73;73;0;0;0;64;32;13333.333333;6666.666667;0;0;0;0;Mirai
443;43238;6;84;1;1;1441;1441;1441;1441;1441;1441;1441;1441;84;0;84;84;0;0;0;0;0;0;32;32;11904.761905;11904.761905;1441;1441;1441;0;Mirai
443;51875;6;111;1;1;1448;1448;1448;1448;1448;1448;1448;1448;111;0;111;111;0;0;0;0;0;0;32;32;9009.009009;9009.009009;1448;1448;1448;0;Mirai
39547;1900;17;75;1;1;444;372;444;444;444;372;372;372;75;0;75;75;0;0;0;0;0;0;8;8;13333.333333;13333.333333;372;444;396;41.569219;Mirai
52739;9020;6;72;0;2;0;2776;0;0;0;1388;1388;1388;72;0;72;72;0;0;0;72;72;72;0;64;0;27777.777778;1388;1388;1388;0;Scan
1667;19604;6;4300;0;2;0;0;0;0;0;0;0;0;4300;0;4300;4300;0;0;0;4300;4300;4300;0;40;0;465.116279;0;0;0;0;DoS
60103;8899;17;31;3;1;96;32;32;32;32;32;32;32;10.333333;5.033223;15;5;20;10;5;0;0;0;24;8;96774.193548;32258.064516;32;32;32;0;Mirai
56361;10101;17;226;0;4;0;136;0;0;0;40;32;34;75.333333;3.21455;79;73;0;0;0;226;75.333333;73;0;32;0;17699.115044;32;40;33.6;3.577709;Mirai
55987;8043;17;5;1;1;18;18;18;18;18;18;18;18;5;0;5;5;0;0;0;0;0;0;8;8;200000;200000;18;18;18;0;Mirai
443;43238;6;185;1;1;1441;1441;1441;1441;1441;1441;1441;1441;185;0;185;185;0;0;0;0;0;0;32;32;5405.405405;5405.405405;1441;1441;1441;0;Mirai
443;43238;6;240;1;1;1441;1441;1441;1441;1441;1441;1441;1441;240;0;240;240;0;0;0;0;0;0;32;32;4166.666667;4166.666667;1441;1441;1441;0;Mirai
56361;10101;17;151;2;1;2860;1430;1430;1430;1430;1430;1430;1430;75.5;2.12132;77;74;74;74;74;0;0;0;16;8;13245.033113;6622.516556;1430;1430;1430;0;Mirai
56361;10101;17;116;1;1;1430;1430;1430;1430;1430;1430;1430;1430;116;0;116;116;0;0;0;0;0;0;8;8;8620.689655;8620.689655;1430;1430;1430;0;Mirai
9020;56211;6;79;0;2;0;0;0;0;0;0;0;0;79;0;79;79;0;0;0;79;79;79;0;64;0;25316.455696;0;0;0;0;Mirai
34213;443;6;187;2;1;2920;1460;1460;1460;1460;1460;1460;1460;93.5;34.648232;118;69;69;69;69;0;0;0;40;20;10695.187166;5347.593583;1460;1460;1460;0;Mirai
56260;7100;6;75;1;1;0;0;0;0;0;0;0;0;75;0;75;75;0;0;0;0;0;0;20;20;13333.333333;13333.333333;0;0;0;0;Mirai
10000;10101;17;293;4;1;4310;1430;1430;20;1077.5;1430;1430;1430;73.25;5.85235;82;70;211;70.333333;70;0;0;0;32;8;13651.877133;3412.969283;20;1430;1195;575.63009;Mirai
52727;9020;6;123;0;2;0;1418;0;0;0;1388;30;709;123;0;123;123;0;0;0;123;123;123;0;64;0;16260.162602;30;1388;935.333333;784.041666;Scan
55984;8043;17;7;1;1;18;18;18;18;18;18;18;18;7;0;7;7;0;0;0;0;0;0;8;8;142857.142857;142857.142857;18;18;18;0;Mirai
60227;8899;17;11;1;1;32;32;32;32;32;32;32;32;11;0;11;11;0;0;0;0;0;0;8;8;90909.090909;90909.090909;32;32;32;0;Mirai
56361;10101;17;266;0;3;0;120;0;0;0;40;40;40;133;86.267027;194;72;0;0;0;266;133;72;0;24;0;11278.195489;40;40;40;0;Mirai
4894;19604;6;2038;0;2;0;0;0;0;0;0;0;0;2038;0;2038;2038;0;0;0;2038;2038;2038;0;40;0;981.354269;0;0;0;0;DoS
56361;10101;17;76;1;1;1430;1430;1430;1430;1430;1430;1430;1430;76;0;76;76;0;0;0;0;0;0;8;8;13157.894737;13157.894737;1430;1430;1430;0;Mirai
34661;443;6;80;0;2;0;2896;0;0;0;1448;1448;1448;80;0;80;80;0;0;0;80;80;80;0;64;0;25000;1448;1448;1448;0;Spoofing
57678;443;6;518;0;4;0;5792;0;0;0;1448;1448;1448;172.666667;93.884681;281;115;0;0;0;518;172.666667;115;0;128;0;7722.007722;1448;1448;1448;0;Normal
46110;7760;6;123;1;1;1400;1400;1400;1400;1400;1400;1400;1400;123;0;123;123;0;0;0;0;0;0;20;20;8130.081301;8130.081301;1400;1400;1400;0;Mirai
9020;49784;6;292;2;1;1418;1388;1388;30;709;1388;1388;1388;146;103.23759;219;73;219;219;219;0;0;0;64;32;6849.315068;3424.657534;30;1388;1048.5;679;Normal
45410;443;6;76;0;2;0;2896;0;0;0;1448;1448;1448;76;0;76;76;0;0;0;76;76;76;0;64;0;26315.789474;1448;1448;1448;0;Mirai
10000;10101;17;282;1;1;710;1430;710;710;710;1430;1430;1430;282;0;282;282;0;0;0;0;0;0;8;8;3546.099291;3546.099291;710;1430;1190;415.692194;Mirai
52739;9020;6;142;0;2;0;2776;0;0;0;1388;1388;1388;142;0;142;142;0;0;0;142;142;142;0;64;0;14084.507042;1388;1388;1388;0;Scan
10119;9020;6;73;1;1;0;0;0;0;0;0;0;0;73;0;73;73;0;0;0;0;0;0;32;32;13698.630137;13698.630137;0;0;0;0;Mirai
